@relation C2-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute 7 numeric
@attribute 3.2 numeric
@attribute 4.7 numeric
@attribute 1.4 numeric
@attribute Class {C2,not_C2}

@data
5,3.4,1.5,0.2,not_C2
4.4,2.9,1.4,0.2,not_C2
4.8,3.4,1.6,0.2,not_C2
4.8,3,1.4,0.1,not_C2
4.3,3,1.1,0.1,not_C2
5.7,4.4,1.5,0.4,not_C2
5.4,3.9,1.3,0.4,not_C2
5.1,3.5,1.4,0.3,not_C2
5.4,3.4,1.7,0.2,not_C2
5.1,3.7,1.5,0.4,not_C2
4.6,3.6,1,0.2,not_C2
5.1,3.3,1.7,0.5,not_C2
4.8,3.4,1.9,0.2,not_C2
5,3,1.6,0.2,not_C2
5,3.4,1.6,0.4,not_C2
5.2,3.5,1.5,0.2,not_C2
5.2,3.4,1.4,0.2,not_C2
4.7,3.2,1.6,0.2,not_C2
4.8,3.1,1.6,0.2,not_C2
5.4,3.4,1.5,0.4,not_C2
5.2,4.1,1.5,0.1,not_C2
5.5,4.2,1.4,0.2,not_C2
5,3.2,1.2,0.2,not_C2
5.5,3.5,1.3,0.2,not_C2
5.1,3.4,1.5,0.2,not_C2
5,3.5,1.3,0.3,not_C2
4.5,2.3,1.3,0.3,not_C2
5.1,3.8,1.9,0.4,not_C2
4.8,3,1.4,0.3,not_C2
4.6,3.2,1.4,0.2,not_C2
5.3,3.7,1.5,0.2,not_C2
5,3.3,1.4,0.2,not_C2
4.7,3.2,1.3,0.2,not_C2
5.8,4,1.2,0.2,not_C2
4.4,3.2,1.3,0.2,not_C2
4.6,3.4,1.4,0.3,not_C2
5.4,3.7,1.5,0.2,not_C2
5.7,3.8,1.7,0.3,not_C2
5.1,3.8,1.5,0.3,not_C2
4.9,3.1,1.5,0.1,not_C2
4.9,3.1,1.5,0.1,not_C2
4.4,3,1.3,0.2,not_C2
5.1,3.8,1.6,0.2,not_C2
4.9,3.1,1.5,0.1,not_C2
5,3.5,1.6,0.6,not_C2
5.8,2.7,5.1,1.9,not_C2
7.1,3,5.9,2.1,not_C2
6.5,3,5.8,2.2,not_C2
7.6,3,6.6,2.1,not_C2
4.9,2.5,4.5,1.7,not_C2
7.3,2.9,6.3,1.8,not_C2
6.7,2.5,5.8,1.8,not_C2
6.5,3.2,5.1,2,not_C2
6.4,2.7,5.3,1.9,not_C2
6.8,3,5.5,2.1,not_C2
5.8,2.8,5.1,2.4,not_C2
6.4,3.2,5.3,2.3,not_C2
7.7,3.8,6.7,2.2,not_C2
5.6,2.8,4.9,2,not_C2
7.7,2.8,6.7,2,not_C2
6.3,2.7,4.9,1.8,not_C2
6.7,3.3,5.7,2.1,not_C2
7.2,3.2,6,1.8,not_C2
6.1,3,4.9,1.8,not_C2
6.4,2.8,5.6,2.1,not_C2
6.4,2.8,5.6,2.2,not_C2
6.3,2.8,5.1,1.5,not_C2
6.1,2.6,5.6,1.4,not_C2
7.7,3,6.1,2.3,not_C2
6.3,3.4,5.6,2.4,not_C2
6.4,3.1,5.5,1.8,not_C2
6,3,4.8,1.8,not_C2
6.9,3.1,5.4,2.1,not_C2
6.7,3.1,5.6,2.4,not_C2
6.9,3.1,5.1,2.3,not_C2
6.8,3.2,5.9,2.3,not_C2
6.7,3.3,5.7,2.5,not_C2
6.5,3,5.2,2,not_C2
6.2,3.4,5.4,2.3,not_C2
5.9,3,5.1,1.8,not_C2
6.5,3,5.5,1.8,not_C2
6,2.2,5,1.5,not_C2
6.9,3.2,5.7,2.3,not_C2
6.2,2.8,4.8,1.8,not_C2
6.3,2.9,5.6,1.8,not_C2
7.2,3.6,6.1,2.5,not_C2
5.7,2.5,5,2,not_C2
7.2,3,5.8,1.6,not_C2
7.4,2.8,6.1,1.9,not_C2
7.9,3.8,6.4,2,not_C2
5.8,2.7,5.1,1.9,not_C2
6.7,3,5.2,2.3,not_C2
6.3,2.5,5,1.9,not_C2
7.7,2.6,6.9,2.3,not_C2
6.389953,3.240744,4.507247,1.565887,C2
6.898165,2.907259,4.61804,1.310561,C2
5.5,2.391396,3.968132,1.226199,C2
6.346387,3.145893,4.7,1.584325,C2
5.274384,2.4,3.525109,1.000485,C2
5.895373,2.571992,4.014202,1,C2
6.1,2.804507,4.7,1.36196,C2
5.601068,2.883896,3.689027,1.3,C2
6.686979,3.079372,4.4,1.4,C2
5.623316,2.911009,4.488502,1.381524,C2
5.77712,2.799188,4.1,1.288664,C2
6.237465,2.246335,4.466639,1.411358,C2
5.636708,2.563687,3.927794,1.134091,C2
5.949145,3.285757,4.707572,1.656536,C2
6.095385,2.764101,3.975752,1.219884,C2
6.417563,2.736757,4.690298,1.5,C2
6.169959,2.817437,4.420163,1.292897,C2
6.567263,2.9,4.491249,1.3,C2
6.525425,2.908943,4.369576,1.319176,C2
6.598101,2.80258,4.938702,1.557885,C2
5.598123,2.469137,3.641554,1,C2
5.5,2.402812,3.877432,1.021908,C2
5.884261,2.764238,3.935334,1.215497,C2
6.035382,2.759863,4.983163,1.249423,C2
5.507952,3,4.111751,1.327348,C2
6.611326,3.09563,4.56269,1.413755,C2
6.3,2.411571,4.530664,1.419337,C2
5.51238,2.717264,4.229812,1.266203,C2
6.39922,3.141804,4.512401,1.485405,C2
5.678533,2.631542,4.004894,1.245101,C2
5.288356,2.313107,3.316819,1,C2
5.6,2.978731,4.141011,1.3,C2
5.645363,3,4.12547,1.236947,C2
5.885779,2.919669,4.2,1.331526,C2
6.143498,2.895014,4.031106,1.3,C2
6.752427,2.896993,4.663326,1.366707,C2
6.658297,2.8,4.690555,1.407541,C2
5.903199,2.848728,4.5,1.473766,C2
6.044968,3.292841,4.594785,1.525271,C2
5.7,2.878135,4.210124,1.3,C2
5.295107,2.550192,3.965675,1.33501,C2
5.057223,2.277983,3.374852,1.092028,C2
5.816697,3,4.2,1.329276,C2
5.5,2.460191,3.927589,1.160673,C2
5.679694,3,4.157936,1.24786,C2
5.5,2.328575,4,1.3,C2
4.964039,2.458383,3.046867,1.051116,C2
5.7,2.805927,4.170815,1.272222,C2
6.671807,2.829231,4.620538,1.5,C2
