@relation C1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute 5.1 numeric
@attribute 3.5 numeric
@attribute 1.4 numeric
@attribute 0.2 numeric
@attribute Class {C1,not_C1}

@data
6.7,3.3,5.7,2.5,not_C1
6.5,3,5.2,2,not_C1
6.2,3.4,5.4,2.3,not_C1
5.9,3,5.1,1.8,not_C1
6.5,3,5.5,1.8,not_C1
6,2.2,5,1.5,not_C1
6.9,3.2,5.7,2.3,not_C1
6.2,2.8,4.8,1.8,not_C1
6.3,2.9,5.6,1.8,not_C1
7.2,3.6,6.1,2.5,not_C1
5.7,2.5,5,2,not_C1
7.2,3,5.8,1.6,not_C1
7.4,2.8,6.1,1.9,not_C1
7.9,3.8,6.4,2,not_C1
5.8,2.7,5.1,1.9,not_C1
6.7,3,5.2,2.3,not_C1
6.3,2.5,5,1.9,not_C1
7.7,2.6,6.9,2.3,not_C1
4.889953,3,1.4,0.265887,C1
4.600612,3.19637,1.312027,0.2,C1
5,3.508604,1.384066,0.2369,C1
5.36521,3.822946,1.831979,0.4,C1
5,3.575853,1.454978,0.2,C1
4.4,3.123195,1.385798,0.2,C1
4.922118,3.4,1.572593,0.2,C1
4.801068,3.016104,1.417805,0.1,C1
4.313021,3,1.269131,0.140654,C1
5.630053,3.955046,1.507665,0.4,C1
5.42288,4.197565,1.358625,0.207557,C1
5.062535,3.5,1.366639,0.3,C1
5.4,3.591061,1.644413,0.2,C1
5.1,3.742878,1.5,0.328268,C1
4.601538,3.456402,1.072744,0.2,C1
5.041218,3.457838,1.630099,0.520464,C1
4.8,3.347689,1.690123,0.2,C1
4.916369,3.01631,1.53625,0.199124,C1
5,3.4,1.569576,0.238352,C1
5.250949,3.69742,1.5,0.2,C1
5.2,3.465432,1.470777,0.2,C1
4.823429,3.197188,1.540856,0.192697,C1
4.743826,3.1,1.564666,0.2,C1
5.329235,3.4,1.470791,0.224711,C1
5.253976,3.843265,1.5,0.186326,C1
5.766023,4.191259,1.30846,0.2,C1
4.991575,3.088429,1.252265,0.2,C1
5.481429,3.5,1.413459,0.2,C1
5.1,3.470902,1.412401,0.285405,C1
5.060734,3.468458,1.304894,0.254899,C1
4.384658,2.391748,1.291591,0.135141,C1
5.025663,3.521269,1.723032,0.528802,C1
4.8,3,1.4,0.226106,C1
4.692889,3.2,1.550929,0.2,C1
5.243498,3.690027,1.5,0.2,C1
5.152427,3.303007,1.4,0.2,C1
4.747234,3.187443,1.354722,0.207541,C1
5.670932,3.846184,1.343603,0.2,C1
4.534905,3.2,1.3,0.2,C1
4.65762,3.4,1.593251,0.200348,C1
5.368298,3.7,1.5,0.2,C1
5.528331,3.855597,1.599881,0.392028,C1
5.183303,3.7955,1.5,0.243092,C1
4.817031,3.1,1.563795,0.130337,C1
4.9,3.1,1.5,0.1,C1
4.4,2.914287,1.380708,0.2,C1
5.1,3.8,1.584378,0.248884,C1
4.882134,3.1,1.570815,0.127778,C1
5.085903,3.5,1.558925,0.481589,C1
