@relation C3-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute 6.3 numeric
@attribute 3.3 numeric
@attribute 6 numeric
@attribute 2.5 numeric
@attribute Class {C3,not_C3}

@data
4.7,3.2,1.6,0.2,not_C3
4.8,3.1,1.6,0.2,not_C3
5.4,3.4,1.5,0.4,not_C3
5.2,4.1,1.5,0.1,not_C3
5.5,4.2,1.4,0.2,not_C3
5,3.2,1.2,0.2,not_C3
5.5,3.5,1.3,0.2,not_C3
5.1,3.4,1.5,0.2,not_C3
5,3.5,1.3,0.3,not_C3
4.5,2.3,1.3,0.3,not_C3
5.1,3.8,1.9,0.4,not_C3
4.8,3,1.4,0.3,not_C3
4.6,3.2,1.4,0.2,not_C3
5.3,3.7,1.5,0.2,not_C3
5,3.3,1.4,0.2,not_C3
4.7,3.2,1.3,0.2,not_C3
5.8,4,1.2,0.2,not_C3
4.4,3.2,1.3,0.2,not_C3
4.6,3.4,1.4,0.3,not_C3
5.4,3.7,1.5,0.2,not_C3
5.7,3.8,1.7,0.3,not_C3
5.1,3.8,1.5,0.3,not_C3
4.9,3.1,1.5,0.1,not_C3
4.9,3.1,1.5,0.1,not_C3
4.4,3,1.3,0.2,not_C3
5.1,3.8,1.6,0.2,not_C3
4.9,3.1,1.5,0.1,not_C3
5,3.5,1.6,0.6,not_C3
6.4,3.2,4.5,1.5,not_C3
6.9,3.1,4.9,1.5,not_C3
5.5,2.3,4,1.3,not_C3
6.3,3.3,4.7,1.6,not_C3
4.9,2.4,3.3,1,not_C3
6,2.2,4,1,not_C3
6.1,2.9,4.7,1.4,not_C3
5.6,2.9,3.6,1.3,not_C3
6.7,3.1,4.4,1.4,not_C3
5.6,3,4.5,1.5,not_C3
5.8,2.7,4.1,1,not_C3
6.2,2.2,4.5,1.5,not_C3
5.6,2.5,3.9,1.1,not_C3
5.9,3.2,4.8,1.8,not_C3
6.1,2.8,4,1.3,not_C3
6.3,2.5,4.9,1.5,not_C3
6.1,2.8,4.7,1.2,not_C3
6.4,2.9,4.3,1.3,not_C3
6.6,3,4.4,1.4,not_C3
6.7,3,5,1.7,not_C3
5.7,2.6,3.5,1,not_C3
5.5,2.4,3.7,1,not_C3
5.8,2.7,3.9,1.2,not_C3
6,2.7,5.1,1.6,not_C3
5.4,3,4.5,1.5,not_C3
6.7,3.1,4.7,1.5,not_C3
6.3,2.3,4.4,1.3,not_C3
5.5,2.6,4.4,1.2,not_C3
6.1,3,4.6,1.4,not_C3
5.8,2.6,4,1.2,not_C3
5,2.3,3.3,1,not_C3
5.6,2.7,4.2,1.3,not_C3
5.7,3,4.2,1.2,not_C3
5.7,2.9,4.2,1.3,not_C3
6.2,2.9,4.3,1.3,not_C3
6.6,2.9,4.6,1.3,not_C3
6.8,2.8,4.8,1.4,not_C3
6,2.9,4.5,1.5,not_C3
6,3.4,4.5,1.6,not_C3
5.7,2.8,4.5,1.3,not_C3
5.2,2.7,3.9,1.4,not_C3
5,2,3.5,1,not_C3
5.9,3,4.2,1.5,not_C3
5.5,2.4,3.8,1.1,not_C3
5.6,3,4.1,1.3,not_C3
5.5,2.5,4,1.3,not_C3
5.1,2.5,3,1.1,not_C3
5.7,2.8,4.1,1.3,not_C3
6.5,2.8,4.6,1.5,not_C3
5.8,2.7,5.1,1.9,C3
7.101835,2.807259,6.087973,1.910561,C3
6.451291,2.817207,5.768132,2.1631,C3
7.611597,2.691786,6.797968,2.131349,C3
5.58637,2.939631,4.635066,1.700485,C3
7.456941,2.974398,6.342607,1.944518,C3
6.455763,2.881972,5.745186,1.8,C3
6.498932,3.183896,5.171222,1.891921,C3
6.413021,2.761883,5.215434,1.940654,C3
6.823316,3.177982,5.507665,2.218476,C3
5.8,2.700812,5.1,1.918893,C3
6.32507,3.29267,5.333361,2.3,C3
7.7,3.290504,6.533238,2.234091,C3
5.69829,2.757122,4.961619,1.928268,C3
7.7,2.728201,6.748496,2.240347,C3
6.3,2.542162,4.969901,1.820464,C3
6.7,3.265126,5.630041,2.378692,C3
7.283631,3.151069,6.191249,1.8,C3
6.025425,3,4.960847,1.8,C3
6.4,2.70129,5.554026,1.957885,C3
6.4,2.8,5.6,2.17341,C3
6.3,2.791564,5.040856,1.52921,C3
6.184261,2.921191,5.564666,1.46199,C3
7.487706,3,6.041581,2.124711,C3
6.515905,3.207449,5.6,2.4,C3
6.4,3.086889,5.54577,2.058735,C3
6.01685,2.888429,4.8,1.8,C3
6.88762,3.1,5.513459,2.298608,C3
6.50052,3.029098,5.775198,2.22919,C3
6.657066,3.068458,5.102447,2.164697,C3
6.742329,3.186893,5.887386,2.382429,C3
6.402652,3.39291,5.641011,2.435599,C3
6.445363,2.749344,5.27453,1.963053,C3
6.664447,3.340993,5.550929,2.315763,C3
5.956502,3,4.831106,1.8,C3
6.423787,2.990979,5.436674,1.866707,C3
6.141703,2.237672,5.054722,1.5,C3
6.867733,3.097456,5.604265,2.273766,C3
6.244968,2.719631,4.98957,1.837365,C3
6.32881,2.821865,5.6,2.098957,C3
7.07319,3.300384,5.96865,2.37002,C3
5.814446,2.777983,5.02503,1.815944,C3
7.158349,3,5.871483,1.884541,C3
7.234062,2.920383,5.908616,1.80899,C3
7.740612,3.8,6.573809,2.104279,C3
5.8,2.7,5.1,1.9,C3
6.835961,3.041617,5.184378,2.3,C3
6.3,2.50889,5.070815,1.788889,C3
7.356386,2.629231,6.776774,2.102649,C3
